Language;Frequency;
русский;73374;
английский;16955;
азербайджанский;178;
армянский;184;
албанский;36;
арабский;368;
белорусский;229;
бенгальский;37;
болгарский;112;
валлийский;32;
венгерский;62;
вьетнамский;76;
галисийский;32;
голландский;57;
греческий;100;
грузинский;105;
датский;46;
иврит;108;
идиш;46;
индонезийский;38;
исландский;34;
испанский;997;
итальянский;778;
каннада;32;
каталанский;32;
китайский;585;
корейский;141;
креольский;32;
латинский;99;
латышский;85;
литовский;103;
македонский;39;
малайский;35;
мальтийский;32;
немецкий;2640;
норвежский;64;
персидский;50;
польский;140;
португальский;168;
румынский;52;
сербский;73;
словацкий;56;
словенский;47;
суахили;33;
тагайский;32;
тайский;36;
тамильский;33;
телугу;32;
турецкий;192;
украинский;460;
урду;37;
финский;206;
французский;1937;
хинди;75;
хорватский;38;
чешcкий;84;
шведский;107;
эстонский;81;
японский;269;
адыгейский;39;
татарский;799;
чеченский;99;
башкирский;248;
мансийский;10;
нидерландский;7;
ненецкий;42;
казахский;157;
африканский;4;
киргизский;73;
молдавский;42;
таджикский;71;
туркменский;36;
узбекский;80;
тувинский;55;
карельский;16;
якутский;146;
мокшанский;17;
эрзянский;17;
осетинский;75;
аварский;82;
даргинский;58;
кумыкский;54;
лакский;40;
лезгинский;69;
ногайский;35;
табасаранский;43;
бурятский;68;
алтайский;23;
абазинский;15;
карачаевский;27;
черкесский;16;
ингушский;25;
удмуртский;79;
кабардинский;31;
балкарский;32;
саха;1;
марийский;57;
чувашский;125;
адыгский;2;
долганский;10;
мордовский;20;
коми;51;
крымскотатарский;58;
корякский;8;
калмыцкий;44;
None;702;
языки;28;
народов;27;
дагестана;20;
хакасский;24;
монгольский;35;
мокша;4;
кабардино-черкесский;4;
вепсский;7;
коми-пермяцкий;30;
нганасанский;6;
саамский;8;
селькупский;4;
хантыйский;22;
энецкий;4;
курдский;13;
малазийский;3;
фарси;16;
агульский;12;
рутульский;15;
татский;9;
цахурский;8;
югославский;1;
дари;6;
лаосский;1;
пушту;6;
тамили;1;
непальский;2;
республики;6;
Кабардино-Балкария;6;
эвенкийский;17;
чукотский;16;
дагестанский;2;
вепский;7;
сербохорватский;4;
талышский;3;
тюркский;3;
эсперанто;7;
церковно-славянский;5;
эвенский;13;
зырянский;3;
мордовский-мокша;8;
эрзя-мордовский;7;
амхарский;1;
юкагирский;7;
нивхский;2;
бирманский;2;
зулу;1;
коса;1;
кхмерский;1;
сингальский;1;
старославянский;1;
тибетский;5;
шорский;1;
финно-угорский;2;
самоли;1;
санскрит;2;
андийский;2;
индийский;4;
абхазский;2;
еврейский;2;
ительменский;4;
дидойский;1;
нанайский;4;
(рельефно-точечным;1;
шрифтом;1;
Брайля);1;
цыганский;2;
горномарийский;1;
черногорский;1;
Севера;1;
эскимосский;3;
государств;1;
-;1;
участников;1;
СНГ;1;
боснийский;1;
ненцкий;1;
